title	04bf3522-4cac-4579-999a-bdffd4c7d22f	13154079-0169-498a-9923-29e70ad2daa4	13d30151-838e-44e5-bfab-32abaa1dd99e	14150340-dc4b-4eca-a845-d92ac49281ea	142a1e51-8723-45d4-85b4-54b6f87b4d4f	14684581-beae-4309-890f-2c64c4be8fc0	51b10128-ab19-4f0a-a408-32d5041b88fa	6632e5b3-89cc-461c-aaf7-06e69e634333	6d87994b-d015-485b-926c-b2ddead6efd7	80169ff0-eb90-473a-8779-ea537c9f6955	8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	Connor M	DevinLange	Flesh	JosephIsAwesome	Kluver	Lange	Molly73	Nathan_Studanski	Nick	Oblivion	What makes you think I'm not?	b12051fa-28e8-4e29-91b0-8cc2aed96d8c	baca3a93-43e1-4171-b12f-50e32cd7e96b	bbbdc2b5-e28c-4cad-b59d-5043999e84e9	c3e1cfa0-4677-4b03-a4b6-8d8d9b9a38f7	cond0155	duder21	edc4c49c-d263-4d37-bc57-da5f7a344800	ee144185-2957-46a0-af21-9cf5e7a972dc	hi mom	k279	mongoose	polli012	terveen	vikram
A Beautiful Mind	0.0	0.0	0.0	0.0	0.0	5.0	4.5	4.5	4.0	5.0	0.0	0.0	4.0	4.0	5.0	0.0	4.5	5.0	0.0	0.0	5.0	0.0	0.0	3.5	5.0	0.0	5.0	0.0	0.0	3.0	3.0	0.0	4.0	0.0	0.0	4.0
Ace Ventura: Pet Detective	3.0	0.0	3.5	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.5	0.0	0.0	3.5	0.0	0.0	0.0
Aladdin	4.0	4.0	3.5	0.0	3.5	4.5	3.5	4.5	0.0	5.0	0.0	3.5	4.0	4.0	5.0	4.5	4.0	3.5	3.0	0.0	0.0	4.0	0.0	2.5	5.0	0.0	4.0	4.0	3.0	0.0	0.0	0.0	4.5	4.0	0.0	4.0
Almost Famous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0
AmAlie	0.0	0.0	0.0	4.5	0.0	0.0	3.5	3.5	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.5	0.0	0.0
American Beauty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0
Apollo 13	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	4.0	0.0	0.0	4.0	0.0	3.5	4.0	0.0	0.0	0.0	0.0	4.5	3.0	4.0	0.0	4.5	4.0	3.5	0.0	4.0	0.0	0.0	0.0	4.0	4.5
Back to the Future	0.0	0.0	3.0	0.0	0.0	0.0	3.0	4.5	0.0	0.0	4.0	4.0	4.0	0.0	4.0	4.0	5.0	2.5	5.0	0.0	4.0	4.5	0.0	0.0	5.0	4.0	4.5	0.0	5.0	0.0	0.0	5.0	0.0	4.0	4.0	0.0
Batman	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Batman Begins	3.0	4.0	4.0	3.0	0.0	0.0	3.5	4.0	3.5	4.5	0.0	4.0	3.5	0.0	5.0	4.5	4.0	3.0	0.0	4.5	4.5	0.0	4.0	0.0	0.0	4.5	4.0	4.0	5.0	2.0	4.0	0.0	3.5	4.5	0.0	0.0
Batman Forever	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beauty and the Beast	3.0	2.5	0.0	0.0	0.0	4.0	3.5	4.5	0.0	5.0	0.0	4.0	4.5	4.0	4.0	0.0	2.5	5.0	0.0	0.0	0.0	4.0	0.0	2.5	0.0	3.0	4.5	0.0	3.5	1.5	0.0	4.0	4.5	2.5	0.0	5.0
Braveheart	0.0	3.5	4.0	0.0	0.0	4.5	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.5	0.0	4.0	4.5	0.0	0.0	0.0	0.0
Cast Away	4.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	4.5	0.0	0.0	5.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	4.0	4.5
Catch Me If You Can	4.0	0.0	4.5	0.0	0.0	0.0	3.5	0.0	4.0	0.0	0.0	4.5	0.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	5.0	0.0	3.5	0.0	3.5	0.0	0.0	5.0	5.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0
Charlie's Angels	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Chicken Run	1.0	4.0	0.0	4.0	0.0	2.0	3.0	4.0	0.0	2.0	3.0	0.0	3.0	0.0	4.0	0.0	3.5	3.0	0.0	0.0	2.5	0.0	2.5	3.0	0.0	3.0	0.0	2.5	0.0	0.0	3.0	2.5	0.0	0.0	0.0	2.5
Clear and Present Danger	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Crouching Tiger, Hidden Dragon	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	3.0	2.0	5.0	0.0
Dances with Wolves	0.0	0.0	0.0	0.0	0.0	0.0	2.5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0
Die Hard: With a Vengeance	0.0	0.0	3.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	3.5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	5.0	4.5	0.0	0.0	0.0	3.0	3.5
Donnie Darko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	4.5	0.0
Dumb and Dumber	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	2.5	5.0	4.5	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.5	1.5	0.0	4.0	0.0	0.0	3.0
E.T. the Extra-Terrestrial	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	4.0	3.5	0.0	3.5	0.0	0.0	2.5	3.5	1.0	5.0	0.0
Erin Brockovich	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Eternal Sunshine of the Spotless Mind	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Fargo	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.5	2.5	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.5
Fight Club	2.5	0.0	5.0	4.5	4.5	0.0	0.0	0.0	4.0	0.0	4.0	0.0	3.5	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	5.0	0.0	5.0	0.0	1.5	0.0	4.0	4.0	2.5
Finding Nemo	4.0	4.5	4.5	4.0	4.0	3.5	4.0	5.0	0.0	3.5	3.5	4.5	4.0	2.0	5.0	4.0	4.5	4.5	4.5	4.0	5.0	4.5	3.5	4.0	4.0	4.0	5.0	3.5	4.0	3.0	0.0	3.5	5.0	3.5	5.0	4.0
Forrest Gump	3.5	0.0	4.5	4.5	4.5	5.0	3.0	4.5	0.0	5.0	4.5	4.0	4.5	0.0	5.0	0.0	5.0	4.0	0.0	0.0	5.0	0.0	0.0	5.0	0.5	3.5	4.0	4.5	4.0	0.0	3.5	5.0	4.5	2.5	0.0	5.0
Gladiator	4.5	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	4.5	2.0	0.0	4.5	0.0	0.0	3.5	0.0	0.0	3.5	0.0	0.0	3.5	0.0
Harry Potter and the Chamber of Secrets	3.5	0.0	3.0	4.0	0.0	4.5	4.0	3.5	2.0	4.5	3.0	3.0	4.0	2.5	4.5	0.0	4.0	3.0	4.5	4.0	5.0	4.0	4.0	3.0	5.0	4.0	3.0	4.0	4.0	1.5	3.0	5.0	4.0	4.0	3.5	4.0
Harry Potter and the Philosopher's Stone	3.0	0.0	3.5	4.0	0.0	3.0	4.0	3.0	2.0	5.0	0.0	3.0	4.5	2.0	5.0	0.0	0.0	3.5	4.5	0.0	5.0	4.0	0.0	2.5	5.0	4.0	3.5	3.5	4.5	1.0	4.0	0.0	4.0	5.0	3.0	3.5
High Fidelity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Independence Day	0.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	3.5	0.0	4.0	0.0	0.0	3.0	0.0	4.0	3.0	0.0	0.0	5.0	0.0	0.0	3.5	0.0	0.0	3.0	0.0	4.0	0.0	4.5	0.0	3.0	3.0	3.5	0.0
Jurassic Park	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	4.5	0.0	4.0	3.5	0.0	5.0	0.0	3.5	3.5	0.0	0.0	5.0	4.5	0.0	3.0	4.5	4.0	4.0	0.0	4.5	0.0	0.0	3.5	0.0	0.0	5.0	4.5
Kill Bill: Vol. 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	4.5	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kill Bill: Vol. 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lost in Translation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Meet the Parents	2.5	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	4.5	0.0	0.0	0.0	5.0	0.0	4.5	3.0	0.0	3.0	3.0	3.0	2.5	0.0	3.5	0.0	4.5	0.0	3.5	3.0
Memento	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	3.0	0.0	3.5	4.0	5.0	0.0
Men in Black	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5	0.0	5.0	0.0	4.0	4.0	0.0	3.5	3.5	5.0	3.0	0.0	0.0	5.0	0.0	4.5	3.0	0.0	0.0	3.5	4.0	3.5	3.5	4.5	5.0	4.0	0.0	3.5	3.5
Minority Report	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	4.5	0.0
Mission: Impossible	3.0	3.5	0.0	0.0	0.0	0.0	0.0	4.5	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	3.5	3.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	3.5	0.0	0.0	4.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0
Mission: Impossible II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	3.5	0.0	0.0	0.0	0.0	3.5	2.5	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Monsters, Inc.	3.0	5.0	3.0	4.5	4.0	3.5	3.5	3.5	0.0	3.5	0.0	4.5	4.0	1.0	5.0	4.5	4.5	4.5	3.5	4.5	4.5	4.5	3.5	3.0	3.5	3.5	5.0	4.5	3.5	3.5	4.0	0.0	5.0	4.0	5.0	3.5
Mrs. Doubtfire	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	2.0	3.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	2.5	2.5	0.0	0.0	4.0
