title	04bf3522-4cac-4579-999a-bdffd4c7d22f	13154079-0169-498a-9923-29e70ad2daa4	13d30151-838e-44e5-bfab-32abaa1dd99e	14150340-dc4b-4eca-a845-d92ac49281ea	142a1e51-8723-45d4-85b4-54b6f87b4d4f	14684581-beae-4309-890f-2c64c4be8fc0	51b10128-ab19-4f0a-a408-32d5041b88fa	6632e5b3-89cc-461c-aaf7-06e69e634333	6d87994b-d015-485b-926c-b2ddead6efd7	80169ff0-eb90-473a-8779-ea537c9f6955	8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	Connor M	DevinLange	Flesh	JosephIsAwesome	Kluver	Lange	Molly73	Nathan_Studanski	Nick	Oblivion	What makes you think I'm not?	b12051fa-28e8-4e29-91b0-8cc2aed96d8c	baca3a93-43e1-4171-b12f-50e32cd7e96b	bbbdc2b5-e28c-4cad-b59d-5043999e84e9	c3e1cfa0-4677-4b03-a4b6-8d8d9b9a38f7	cond0155	duder21	edc4c49c-d263-4d37-bc57-da5f7a344800	ee144185-2957-46a0-af21-9cf5e7a972dc	hi mom	k279	mongoose	polli012	terveen	vikram
O Brother, Where Art Thou?	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	4.5	4.5	0.0	3.5	3.0	4.5	0.0	0.0	4.5	4.0
Ocean's Eleven	2.5	5.0	4.5	0.0	0.0	0.0	4.0	0.0	3.0	4.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	4.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	3.5	0.0	3.5	5.0	0.0	4.5	0.0	0.0	5.0	4.0	3.5
Pirates of the Caribbean: The Curse of the Black Pearl	4.0	4.0	3.5	4.0	0.0	3.5	4.5	0.0	3.0	3.0	0.0	3.5	4.5	0.0	3.5	3.5	4.0	3.0	4.0	5.0	5.0	4.5	0.0	3.0	4.5	3.5	4.5	0.0	4.0	0.0	3.5	5.0	4.0	3.5	0.0	4.0
Pretty Woman	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0
Pulp Fiction	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.5	0.0	5.0	5.0	0.0	0.0	5.0	0.0	0.0	3.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	4.0	0.0	3.0	3.5	0.0	0.0	0.0	5.0	4.5
Raiders of the Lost Ark	3.5	4.5	4.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	5.0	4.0	3.5	3.0	4.5	0.0	0.0	4.5	4.5	4.0	0.0	3.5	4.0	0.0	5.0	2.0	4.0	4.0	0.0	0.0	5.0	0.0
Requiem for a Dream	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saving Private Ryan	3.5	0.0	0.0	0.0	0.0	4.5	5.0	4.5	3.0	0.0	4.5	0.0	4.5	3.0	0.0	0.0	5.0	5.0	0.0	0.0	5.0	0.0	0.0	4.5	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	4.5	4.5
Schindler's List	5.0	0.0	4.5	4.5	0.0	0.0	0.0	4.5	3.5	0.0	0.0	0.0	4.5	0.0	5.0	0.0	4.0	0.0	0.0	4.5	5.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0
Se7en	3.5	0.0	4.0	5.0	0.0	0.0	4.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	3.5	0.0	0.0
Shrek	3.5	4.0	5.0	0.0	0.0	4.0	3.5	4.0	0.0	3.5	4.0	4.0	4.0	2.5	5.0	4.0	3.5	3.5	4.0	4.5	4.0	3.5	3.0	3.5	5.0	0.0	0.0	3.5	3.5	0.0	4.5	5.0	4.0	4.0	0.0	3.5
Shrek 2	1.5	3.5	5.0	0.0	0.0	0.0	2.0	3.5	0.0	2.5	2.0	3.5	3.5	2.0	1.5	0.0	3.5	3.0	3.5	3.0	4.5	3.0	3.5	3.5	4.0	0.0	0.0	3.0	3.5	0.0	3.5	4.5	3.5	4.5	0.0	4.0
Sin City	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snatch	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	4.5	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
Speed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Spider-Man	2.0	3.0	3.0	0.0	0.0	3.0	3.5	4.5	0.0	3.0	0.0	3.0	3.5	2.5	3.5	0.0	4.0	2.5	3.5	0.0	4.5	4.0	0.0	3.0	4.0	3.0	0.0	3.0	3.0	0.0	4.0	3.0	3.0	0.0	4.0	3.0
Spider-Man 2	2.0	3.0	3.0	0.0	1.0	4.0	3.0	4.0	0.0	3.0	0.0	4.0	3.5	0.0	2.0	0.0	0.0	2.5	0.0	0.0	5.0	4.0	0.0	0.0	0.0	3.0	0.0	2.5	4.0	0.0	4.0	3.0	2.5	0.0	0.0	3.5
Star Wars: Episode II - Attack of the Clones	2.0	4.5	4.0	3.0	4.5	0.0	2.5	4.0	0.0	0.0	1.5	2.0	4.5	0.0	2.5	2.5	4.5	4.0	3.5	2.0	5.0	3.0	4.5	2.5	5.0	3.5	1.5	0.0	1.5	0.0	0.0	4.5	0.0	0.0	1.0	2.0
Star Wars: Episode IV - A New Hope	4.0	5.0	4.0	3.5	5.0	0.0	4.0	4.5	0.0	0.0	5.0	4.5	4.5	0.0	5.0	4.0	4.5	4.0	0.0	4.0	0.0	4.5	4.5	4.0	5.0	4.5	4.0	0.0	4.5	0.0	0.0	3.0	4.5	0.0	5.0	4.0
Star Wars: Episode V - The Empire Strikes Back	4.0	5.0	3.5	3.5	5.0	0.0	4.5	4.0	0.0	0.0	4.5	5.0	4.5	0.0	5.0	4.0	5.0	4.0	3.5	4.0	0.0	4.5	0.0	4.0	5.0	4.5	4.5	0.0	4.5	0.0	0.0	4.5	3.5	0.0	5.0	4.5
Star Wars: Episode VI - Return of the Jedi	4.5	5.0	4.0	3.0	5.0	0.0	4.5	3.5	0.0	0.0	4.5	4.0	4.5	0.0	5.0	4.0	4.0	4.0	0.0	4.5	0.0	4.5	0.0	4.0	5.0	4.0	4.0	0.0	5.0	0.0	0.0	4.0	4.0	0.0	4.0	4.5
Stargate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.5	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0
Terminator 2: Judgment Day	0.0	2.0	0.0	0.0	0.0	3.0	0.0	3.5	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	5.0	0.0
The Bourne Identity	0.0	4.0	5.0	4.5	3.5	0.0	4.0	0.0	0.0	5.0	4.5	4.5	4.0	3.0	4.5	0.0	4.0	2.0	4.0	0.0	5.0	0.0	4.5	0.0	0.0	4.0	4.5	0.0	4.5	0.0	4.0	3.0	3.5	0.0	4.5	0.0
The Bourne Supremacy	0.0	4.5	4.0	4.5	3.5	0.0	4.0	0.0	0.0	4.5	4.0	4.5	4.0	4.0	4.5	0.0	0.0	2.0	4.0	0.0	5.0	0.0	4.0	0.0	0.0	4.0	4.5	0.0	5.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0
The Dark Knight	4.5	4.0	4.5	5.0	0.0	4.5	4.0	0.0	0.0	5.0	5.0	5.0	4.5	4.0	5.0	4.5	5.0	5.0	3.5	5.0	5.0	0.0	5.0	3.5	3.0	4.0	5.0	4.0	5.0	5.0	4.5	5.0	3.0	5.0	0.0	4.5
The Departed	0.0	0.0	0.0	4.0	0.0	0.0	4.5	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
The Fugitive	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	3.5	0.0	4.0	4.5
The Godfather	0.0	0.0	4.0	4.5	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.5	0.0	0.0	4.5	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	4.5	4.5
The Incredibles	3.0	4.0	4.0	3.5	4.0	4.0	4.0	4.5	0.0	3.0	3.0	4.0	4.0	0.5	4.0	4.0	4.0	4.5	3.5	0.0	4.0	4.5	3.5	3.5	4.5	4.0	4.5	4.5	4.0	3.5	5.0	0.0	4.5	5.0	5.0	4.5
The Lion King	4.5	0.0	3.5	3.5	0.0	3.0	5.0	5.0	0.0	5.0	3.0	4.5	4.0	3.5	5.0	0.0	3.5	5.0	3.0	4.0	0.0	4.5	4.5	3.0	5.0	3.5	4.0	3.5	3.5	0.0	3.0	3.0	4.5	1.5	4.0	4.0
The Lord of the Rings: The Fellowship of the Ring	5.0	0.0	5.0	4.5	0.0	3.5	5.0	0.0	3.5	5.0	4.5	4.5	5.0	0.0	5.0	0.0	5.0	5.0	0.0	5.0	5.0	4.0	0.0	3.5	5.0	4.0	4.5	0.0	5.0	0.5	4.5	5.0	0.0	0.0	5.0	4.5
The Lord of the Rings: The Return of the King	5.0	0.0	5.0	4.5	0.0	4.0	4.5	4.5	4.0	5.0	4.5	4.5	5.0	0.0	5.0	4.0	3.5	5.0	0.0	5.0	5.0	4.0	0.0	3.5	5.0	4.0	4.5	0.0	5.0	0.0	5.0	5.0	0.0	0.0	5.0	5.0
The Lord of the Rings: The Two Towers	5.0	0.0	5.0	4.5	0.0	4.5	4.5	4.5	0.0	5.0	5.0	4.0	5.0	0.0	5.0	4.0	5.0	5.0	0.0	5.0	4.5	4.0	0.0	4.0	5.0	4.5	3.5	0.0	5.0	0.0	3.5	4.5	0.0	0.0	5.0	5.0
The Mask	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.5	0.0	3.0	0.5	0.0	3.0	4.5	0.0	2.5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	2.5	0.0	0.0	3.0
The Matrix	0.0	3.0	5.0	3.5	0.0	4.0	4.0	4.0	3.5	5.0	3.5	0.0	4.5	0.0	5.0	4.5	4.0	2.5	0.0	5.0	5.0	4.5	4.5	0.0	0.0	4.0	4.0	4.5	4.5	4.0	4.5	5.0	3.5	4.0	5.0	4.0
The Matrix Reloaded	0.0	3.5	4.0	3.5	0.0	2.0	2.5	0.0	0.0	5.0	0.0	3.0	4.0	0.0	0.0	3.5	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.5	3.0	0.0	3.5	0.0	3.5	4.0	0.0	0.0	3.0	0.0
The Patriot	0.0	0.0	3.0	0.0	0.0	0.0	2.5	4.0	0.0	0.0	3.5	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
The Rock	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
The Shawshank Redemption	5.0	0.0	5.0	5.0	0.0	3.5	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.5	0.0	0.0	4.5	0.0	4.5	0.0	0.0	0.0	3.5	2.0	5.0	3.5	5.0
The Silence of the Lambs	4.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	3.0	4.5	0.0	0.0	3.5	4.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.0	0.0	4.5	0.0	4.5	0.0	0.0	4.5	5.0	4.5
The Sixth Sense	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	3.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0
The Usual Suspects	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0
Titanic	3.0	0.0	0.0	4.5	0.0	5.0	2.5	4.5	0.0	3.5	0.0	2.5	0.0	5.0	5.0	0.0	5.0	4.0	0.0	4.0	5.0	0.0	0.0	3.0	0.0	0.0	1.5	4.5	4.0	0.0	3.5	3.0	4.5	0.0	3.5	5.0
Toy Story	4.0	4.5	3.5	4.5	3.5	0.0	5.0	5.0	0.0	4.5	4.0	5.0	4.0	0.0	5.0	4.0	5.0	4.0	0.0	5.0	5.0	4.5	4.0	3.0	0.0	3.5	5.0	4.0	4.0	0.0	4.0	0.0	4.5	3.5	5.0	4.5
Traffic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0
True Lies	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Twelve Monkeys	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Twister	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	2.0
Unbreakable	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.5	0.0
V for Vendetta	4.0	0.0	0.0	3.5	0.0	4.0	3.0	0.0	3.5	0.0	0.0	0.0	3.5	0.0	4.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	4.5	4.5	0.0	4.0	4.5	4.5	4.0	0.0	4.0	4.5	0.0	3.5
X-Men	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.5	4.0	5.0	4.0	3.0	4.0	0.0	4.0	0.0	3.0	2.5	0.0	4.5	5.0	0.0	4.0	3.0	0.0	4.0	3.5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0
X2: X-Men United	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	3.0	2.5	0.0	3.5	3.5	0.0	4.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	3.0	3.5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
